Дата/время: Sun Aug 01 16:18:23 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:23 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:23 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:24 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:25 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:25 MSK 2021, Уровень лога: WARN, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:27 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:27 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:27 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:28 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:29 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:30 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:31 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:32 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:33 MSK 2021, Уровень лога: WARN, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:34 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:35 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:37 MSK 2021, Уровень лога: INFO, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:38 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:38 MSK 2021, Уровень лога: INFO, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:39 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:40 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:41 MSK 2021, Уровень лога: INFO, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:42 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:43 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:43 MSK 2021, Уровень лога: WARN, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:44 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:44 MSK 2021, Уровень лога: WARN, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:44 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:46 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:47 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:47 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:48 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:48 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:49 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:49 MSK 2021, Уровень лога: WARN, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:52 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:53 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:54 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:56 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:56 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:57 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:18:57 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:18:58 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:18:59 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:00 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:00 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:02 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:03 MSK 2021, Уровень лога: INFO, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:04 MSK 2021, Уровень лога: WARN, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:04 MSK 2021, Уровень лога: INFO, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:04 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:04 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:05 MSK 2021, Уровень лога: INFO, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:05 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:05 MSK 2021, Уровень лога: DEBUG, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:05 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:05 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:06 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-2
Дата/время: Sun Aug 01 16:19:06 MSK 2021, Уровень лога: TRACE, Сообщение: Thread-1
Дата/время: Sun Aug 01 16:19:16 MSK 2021, Уровень лога: ERROR, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:16 MSK 2021, Уровень лога: WARN, Сообщение: Thread-3
Дата/время: Sun Aug 01 16:19:16 MSK 2021, Уровень лога: WARN, Сообщение: Thread-3
